time_start,long_hg,long_hci,v,v_err,target_obj,r_hci,HitOrMiss,v_estimated,ETA,Dt[s]
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,MERCURY,  0.466,0,,,
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,VENUS,  0.725,0,,,
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,EARTH,  0.996,1, 497.98,2011-10-19T23:15:37.222,    272
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,MARS,  1.599,0,,,
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,JUPITER,  4.965,0,,,
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,SATURN,  9.669,0,,,
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,URANUS, 20.076,0,,,
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,NEPTUNE, 30.001,0,,,
2011-10-19T23:11:05.000, 50.00,  0.13, 500.00,  10.00,PLUTO, 32.117,1, 501.82,2011-10-20T01:36:16.111,   8711
